date,cash,position_value,mkt_value
2024-11-07,98090.0,1985.999999999999,100076.0
2024-11-08,98090.0,2096.000000000001,100186.0
2024-11-11,98090.0,2582.9999999999973,100673.0
2024-11-12,98090.0,2523.0,100613.0
2024-11-13,98090.0,2625.999999999998,100716.0
2024-11-14,98090.0,2450.999999999998,100541.0
2024-11-15,98090.0,2653.000000000001,100743.0
2024-11-18,98090.0,2620.0,100710.0
2024-11-19,98090.0,2675.0,100765.0
2024-11-20,98090.0,2453.0,100543.0
2024-11-21,93234.0,7324.0,100558.0
2024-11-22,93234.0,7643.0,100877.0
2024-11-25,93234.0,7709.000000000002,100943.0
2024-11-26,93234.0,7664.000000000002,100898.0
2024-11-27,93234.0,7471.000000000002,100705.0
2024-11-29,100819.0,0.0,100819.0
2024-12-02,102416.0,-1547.0,100869.0
2024-12-03,102416.0,-1422.0,100994.0
2024-12-04,102416.0,-1237.0,101179.0
2024-12-05,102416.0,-960.0,101456.0
2024-12-06,102416.0,-489.0,101927.0
2024-12-09,102416.0,-837.9999999999982,101578.0
2024-12-10,102416.0,-597.0,101819.0
2024-12-11,102416.0,56.00000000000182,102472.0
2024-12-12,102416.0,76.0,102492.0
2024-12-13,102416.0,58.0,102474.0
2024-12-16,102416.0,498.0,102914.0
2024-12-17,102416.0,473.0,102889.0
2024-12-18,102416.0,-63.0,102353.0
2024-12-19,102416.0,119.0,102535.0
2024-12-20,102416.0,20.0,102436.0
2024-12-23,102416.0,103.0,102519.0
2024-12-24,102416.0,387.0,102803.0
2024-12-26,102416.0,296.0,102712.0
2024-12-27,102416.0,106.00000000000182,102522.0
2024-12-30,102416.0,93.0,102509.0
2024-12-31,102322.0,0.0,102322.0
2025-01-02,98641.0,3668.999999999998,102310.0
2025-01-03,98641.0,3801.0,102442.0
2025-01-06,98641.0,3958.999999999998,102600.0
2025-01-07,98641.0,3582.0,102223.0
2025-01-08,98641.0,3460.0,102101.0
2025-01-10,98641.0,3307.000000000002,101948.0
2025-01-13,98641.0,3083.0,101724.0
2025-01-14,98641.0,3147.0,101788.0
2025-01-15,98641.0,3594.0,102235.0
2025-01-16,98641.0,3329.0,101970.0
2025-01-17,98641.0,3680.0,102321.0
2025-01-21,98641.0,3531.0,102172.0
2025-01-22,98641.0,3703.0,102344.0
2025-01-23,98641.0,3578.999999999998,102220.0
2025-01-24,98641.0,3591.0,102232.0
2025-01-27,98641.0,3396.999999999998,102038.0
2025-01-28,98641.0,3618.999999999998,102260.0
2025-01-29,98641.0,3769.0,102410.0
2025-01-30,98641.0,3677.0,102318.0
2025-01-31,102365.0,0.0,102365.0
2025-02-03,92166.0,10333.0,102499.0
2025-02-04,92166.0,10602.0,102768.0
2025-02-05,92166.0,10313.0,102479.0
2025-02-06,92166.0,10383.0,102549.0
2025-02-07,92166.0,10188.0,102354.0
2025-02-10,92166.0,10154.0,102320.0
2025-02-11,92166.0,9930.0,102096.0
2025-02-12,92166.0,9995.0,102161.0
2025-02-13,92166.0,10119.0,102285.0
2025-02-14,92166.0,10301.0,102467.0
2025-02-18,92166.0,10158.0,102324.0
2025-02-19,92166.0,10145.0,102311.0
2025-02-20,92166.0,9932.0,102098.0
2025-02-21,92166.0,9452.0,101618.0
2025-02-24,92166.0,9414.0,101580.0
2025-02-25,92166.0,9007.0,101173.0
2025-02-26,92166.0,9116.0,101282.0
2025-02-27,92166.0,8903.0,101069.0
2025-02-28,101321.0,0.0,101321.0
2025-03-03,93713.0,8051.000000000002,101764.0
2025-03-04,93713.0,8012.999999999998,101726.0
2025-03-05,93713.0,8064.0,101777.0
2025-03-06,93713.0,7883.000000000002,101596.0
2025-03-07,93713.0,7681.0,101394.0
2025-03-10,98515.0,2628.0,101143.0
2025-03-11,98515.0,2593.0,101108.0
2025-03-12,98515.0,2495.999999999998,101011.0
2025-03-13,98515.0,2386.0,100901.0
2025-03-14,98515.0,2251.0,100766.0
2025-03-17,98515.0,2197.0,100712.0
2025-03-18,98515.0,2174.0,100689.0
2025-03-19,98515.0,2032.0,100547.0
2025-03-20,98515.0,2097.0,100612.0
2025-03-21,98515.0,2279.0,100794.0
2025-03-24,98515.0,2185.0,100700.0
2025-03-25,98515.0,2084.0,100599.0
2025-03-26,98515.0,2000.0,100515.0
2025-03-27,98515.0,2097.000000000002,100612.0
2025-03-28,98515.0,2137.0,100652.0
2025-03-31,100682.0,0.0,100682.0
2025-04-01,107272.0,-7041.0,100231.0
2025-04-02,107272.0,-7220.0,100052.0
2025-04-03,107272.0,-5970.0,101302.0
2025-04-04,111210.0,-9726.0,101484.0
2025-04-07,111210.0,-9823.0,101387.0
2025-04-08,124508.0,-22761.0,101747.0
2025-04-09,124508.0,-25545.0,98963.0
2025-04-10,124508.0,-24394.0,100114.0
2025-04-11,124508.0,-24714.0,99794.0
2025-04-14,124508.0,-24825.0,99683.0
